title,date,country,description,keywords,categories,source_url,page,source_category
Buy KoreanCosmetic- Amore Pacific,"17 Sep, 2014",Hong Kong,"Dear Sir / Madam,
Lady Paradise Beauty Ltd is one of the major onlinecosmeticshops located in Hong Kong. The Koreacosmetic& skin care products are our major products selling to our targeted customers in Mainland China and Hong Kong. Our customers are interested with our wide range of Korea brands such as Laneige, Tony Moly, Missha, Sulwhasoo, The history of Whoo.etc, Please see below brands:-",,"Personal Care,Other Makeup",https://importer.ec21.com/buy-lead/Buy-Korean-Cosmetic--23672825.html,10,
Buy KoreanCosmetics- Holika Holika Or other Brands,"4 Jun, 2014",Singapore,"For selling on Singapore Online shops
Please contact me if you have good products and prices.
Thank you,
Han",,"Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/Buy-Korean-Cosmetics--23588641.html,10,
Buy Anti-wrikleCosmeticsProduct,"15 Mar, 2015",China,"dear sir/madam, we are from China, specializing in beauty products imp. and exp., we need unique & effective & high quality anti aging products particularly good anti wrinkle effect, if you are able to provide branded products with independent copyright to cooperate with us, please contact us immediately, it is best to provide details of your product catalogue and price list, best regards Mr. Zha","line,wrikle,anti aging,body","Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/Buy-Anti-wrikle-Cosmetics-Product--23770332.html,10,
Buy KoreanCosmeticProducts,"29 Sep, 2014",Taiwan,"Can you send me product list and price
And how about shipping
I'm in Taiwan
I want allcosmeticbrands
Thank you",,"Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/Buy-Korean-Cosmetic-Products--23681034.html,10,
Buy KoreanCosmeticWholesale,"17 Aug, 2015",Russia,"Acosmetics selling company from Russia is looking for a reliable koreancosmetics supplier. All the brands are of much interest. We need reasonable wholesale prices and good quality prices.
MOA is other 1000 USD for the first order (testing consignment is obligatory). 5000 USD and more if we continue working.
We prefer EMS shipping and would be glad to hear all you business proposals.","korean,cosmetic,wholesale,manufacturer","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/Buy-Korean-Cosmetic-Wholesale--23852212.html,10,
Buy Coex Lami Tube (CosmeticTube),"17 Apr, 2016",Kuwait,"Dear Sirs,
We are a leading manufacturer ofcosmetics, toothpaste and herbal oils n Kuwait. 
Please send us prices, pictures and all specification for the below:
1- 5 ml, 60 ml and 100 ml for toothpaste (with a big opening for thick textured toothpaste for all sizes)
2- 5 ml , 10 ml, 15 ml , 60 ml , 100 ml, 120 ml , 250 ml for lotions and creams.
3- 150, 250 ml and 500 ml for shampoo and conditio",,"Rubber & Plastics,Plastic Tubes",https://importer.ec21.com/buy-lead/Buy-Coex-Lami-Tube--23962883.html,10,
Buy MacCosmetic,"20 Jan, 2016",United States,"Dear Sir or Madame, 
I am interested in becoming a reseller of your products at our store.
I would appreciate receiving your price list and information regarding terms and ordering policy. 
If you require any further information, please feel free to contact me.
I am looking forward to a prompt response.",,"Personal Care,Other Makeup",https://importer.ec21.com/buy-lead/Buy-Mac-Cosmetic--23927641.html,10,
BuyCosmetics,"12 Sep, 2016",United States,"Greetings,
My name is Bryant and I'm interested in acquiring various lotions, creams, butters, spa ointments, shampoo, hair conditioner, and various othercosmetics for importation into the United States. Please contact me via email to initiate a conversation. The initial order will be for a short trial period to assess acceptable quality, vendor suitableness, etcetera. Thank you.","Cosmetics,Import for Export,Consignment optional,hotel","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/Buy-Cosmetics--24022372.html,10,
We BuyCosmetics,"7 Jun, 2023",China,"We are specialized incosmetics and need to purchase hair care and cleaning products. Shampoo, shampoo, hair lotion, hair oil without propellant, mousse without propellant, combing agent, facial cleanser, liquid mask, etc.
Skin care water Skin care water, firming water, lotion, astringent water, makeup remover, eye cleansing liquid, massage liquid, lip care liquid, hair growth liquid, skin care e",,"Business Services,Beauty Products Agents",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics--24397639.html,10,
We Buy HalalCosmetics,"22 Nov, 2017",China,"Hello dear friend, my company has a Muslim mall, the need to purchase halal food,cosmetics, daily necessities, project cooperation friends, please contact me, thank you!","cosmetic,Moisturizer,Sunscreen,Skin nourishing products","Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/We-Buy-Halal-Cosmetics--24147799.html,10,
Buy KoreaCosmetics,"24 Aug, 2015",Ukraine,"We would like to import the below Koreancosmetics :
Dermal royal jelly collagen essence mask, secret key dairy mask tomato, bergamo honey bee bb cream, np solution ampule a2 week, program snail set, bergamo caviar set, bergamo gold set, bergamo cevair ampule 20 set, ellelhotse gold 7 set, ellehotse snail 7 set, red ginseng collagen essence mask, vitamin collagen essence mask, white collagen esse",,"Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/Buy-Korea-Cosmetics--23856310.html,10,
BuyCosmeticand Skin Care,"22 Sep, 2015",Canada,I'm a buyer from Canada seeking new and only high quality skin care and make up products for my companies clients.,,"Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/Buy-Cosmetic-and-Skin-Care--23870397.html,10,
BuyCosmeticsODM,"10 Oct, 2015",Egypt,"Hello sir,
How are you?
we are a company want to produce a special OIL in your factory.
It is korean oil. its called SALA Korea .
I have this oil and i need to copy it and make my private Label.
can you produce this oil to me....",,"Personal Care,Other Beauty Equipment",https://importer.ec21.com/buy-lead/Buy-Cosmetics-ODM--23877669.html,10,
Buy KoreaCosmetics,"10 Oct, 2015",Egypt,"Hello sir,
How are you?
we are a company want to produce a special OIL in your factory.
It is korean oil. its called SALA Korea .
I have this oil and i need to copy it and make my private Label.
can you produce this oil to me....",,"Personal Care,Other Hair Hygiene",https://importer.ec21.com/buy-lead/Buy-Korea-Cosmetics--23877668.html,10,
Buy Perfumes andCosmetics,"21 Feb, 2016",Vietnam,"I need a miniature rperfume supplier.
Pls contact with me if you can !
Thanks much and best rergarrd !",,"Personal Care,Perfume",https://importer.ec21.com/buy-lead/Buy-Perfumes-and-Cosmetics--23937698.html,10,
"Buycosmeticsof  Pureology, KOSE, LA ROCHE-POSAY, Sisley,","5 Sep, 2016",Canada,"Looking for dropshippers of brandcosmetics.
Please get back asap with your rates and what brands you carry.
Thanks",,"Personal Care,Makeup Brush",https://importer.ec21.com/buy-lead/Buy-cosmetics-of-Pureology--24019827.html,11,
Buy face mask(Cosmetic),"12 Nov, 2015",Hong Kong,"This is Yony Chan. is a director of Yofa Marketing Ltd.
We are trading company in Hong Kong. We mainly sell to China and Macau Market.
We are interested in Mediheal N.M.F Aquaring Ampoule Mask at 5000 packs
= Total 100 carton ,4 pallets
Our target price is KRW7000.
I'm looking forward to your reply.
Thanks",,"Personal Care,Face Mask",https://importer.ec21.com/buy-lead/Buy-face-mask-Cosmetic--23891773.html,11,
Buy ARYANCosmeticLens,"8 Mar, 2016",Egypt,"Hello,
Please I want to order ARYANCosmeticLens, 2 zones, gray color for me and friends. 
Is it ok to order 5 or there is a minimum order quantity?? 
And what about the price, could you please offer me your price.
Thank you
Amanie
P.S. I used to buy this lenses from Syria (before the war)",,"Measurement & Analysis Instruments,Lenses",https://importer.ec21.com/buy-lead/Buy-ARYAN-Cosmetic-Lens--23945281.html,11,
Buy KoreaCosmetic,"24 May, 2016",United Kingdom,"Hi there,
I'm trying to establish my own company with my partner in the UK, and our business is about importingcosmetics from South Korea to the UK and selling it on our own website.
In consider of the complexity in the process of importing, we'd like to cooperate with a local export agent to help us handle the relevant issues.
We plan to importcosmetics in a regular basis with the amount of GB",,"Business Services,Beauty Products Agents",https://importer.ec21.com/buy-lead/Buy-Korea-Cosmetic--23977017.html,11,
Buy KoreanCosmeticsWholesale,"27 Jun, 2016",Indonesia,"Good morning, I'm Hautono from Indonesia. I'm interested with supplying koreancosmetics to my country. Can i get more detailed about how I can order & payment? And also can I get the price list for etude house product? 
Regards, 
Tan Hautono Tantoso",,"Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/Buy-Korean-Cosmetics-Wholesale--23990194.html,11,
Buy Ultrasonic SurgicalCosmeticand Lipolysis Equipment,"30 Aug, 2015",Iran,"hi 
we have intreseted to your ultra z set, and i want lastest price and know about shipping
thank you",,"Health & Medical,Other Medical Equipment",https://importer.ec21.com/buy-lead/Buy-Ultrasonic-Surgical-Cosmetic-and--23859088.html,11,
Buy Dimethyl Silicone OilCosmeticGrade 201,"24 Oct, 2015",Bangladesh,"WE need silicone oil, silicone emulsion, liquid paraffin C+F Chittagong Port Bangladesh with packing, deliver time.
Payment : By LC at sight.",,"Chemicals,Other Organic Chemicals",https://importer.ec21.com/buy-lead/Buy-Dimethyl-Silicone-Oil-Cosmetic--23883604.html,11,
BuyCosmetics,"3 Sep, 2016",Macao,"I am looking forcosmeticsuppliers. Lipsticks, face, creams, etc... If you only provide one that is ok but if you can provide the full range of products I would be very interested in speaking with you.","cosmetics,lipstick,beauty,makeup","Personal Care,Lipstick",https://importer.ec21.com/buy-lead/Buy-Cosmetics--24019325.html,11,
Buy sell koreacosmeticcompany,"10 Oct, 2015",Korea,"Dear sir
MY name is Mr'chan
1. company information
We are a company that prioritizes diligent good faith.
We are looking for buyer.
We are koreacosmeticcompany so china and vietnam to export.
korea brand have many handle 
for example : THE FACE SHOP,TONYMORY,IT'S SKIN, MEDIHEAL and some LG ,AMORE
2. Main products
1.Various masks 
2.skincare(set) 
3. form 
4 handcream
Products are all over the p","skin care,mask,form,cosmetic","Personal Care,Face Mask",https://importer.ec21.com/buy-lead/Buy-sell-korea-cosmetic-company--23869250.html,11,
"BuyCosmetic, Skin Products Korea, ColorCosmetic, Cleanser, Facial Mask","29 Jun, 2015",China,"facial cleanser, cream,facial Mask, eye cream, moisture etc. makeup tools, color costmetic etc. No raw material, all must be completed products from Korea or Japan please.
what's your MOQ? What's the delivery time?",,"Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/Buy-Cosmetic-Skin-Products--23827191.html,11,
Buy KoreanCosmetics- Holika Holika,"4 Sep, 2016",Vietnam,"I am a leading distributor onCosmeticline in Ho Chi Minh city, Viet Nam. Now i am intersted incosmeticwith new technology.
Please send me catalogue/price at the lowest price.
Thank you
Tel: +84938071579",,"Personal Care,Other Makeup",https://importer.ec21.com/buy-lead/Buy-Korean-Cosmetics--24019623.html,11,
Buy KoreanCosmetics,"22 Aug, 2015",United Kingdom,"Dear Sir/Madam,
We would like to import the below Koreancosmetics :
Dermal royal jelly collagen essence mask, secret key dairy mask tomato, bergamo honey bee bb cream, np solution ampule a2 week, program snail set, bergamo caviar set, bergamo gold set, bergamo cevair ampule 20 set, ellelhotse gold 7 set, ellehotse snail 7 set, red ginseng collagen essence mask, vitamin collagen essence mask, whi",,"Personal Care,Other Beauty Supplies",https://importer.ec21.com/buy-lead/Buy-Korean-Cosmetics--23855768.html,11,
Buy KoreanCosmetics,"22 Aug, 2015",United Kingdom,"Dear Exporters,
We have been importers of all kind of beauty koreacosmetics for women for many years. At present, we are interested in extending our range and would appreciate your catalogues and quotations.
Please, send us your wholesales prices
Best regards",,"Personal Care,Other Beauty Supplies",https://importer.ec21.com/buy-lead/Buy-Korean-Cosmetics--23855767.html,11,
Buy KoreanCosmetic,"22 Aug, 2015",United Kingdom,"Dear Exporters,
We have been importers of all kind of beauty koreacosmetics for women for many years. At present, we are interested in extending our range and would appreciate your catalogues and quotations.
Please, send us your wholesales prices
Best regards",,"Personal Care,Other Beauty Supplies",https://importer.ec21.com/buy-lead/Buy-Korean-Cosmetic--23855766.html,11,
"We Buy Machines, Foodgrains,Cosmetics, Oils, Animal Feeds Etc.","6 Nov, 2019",India,"We are one of the Leading Importers in India, imports items like
Machines, cooking oils, food Grains ,Cosmetic& Tioletries, Amimals / Fish feeds and many
more products for India.
We have our chain of 35 stores in all over India, and also we have distributors and clients in different
states in India.
We are working in this field from last 24 years.
we require genuine suppliers who can supply regu","Machines,Animal feeds,cosmetic & Toiletries,Grains & cooking oils","Manufacturing & Processing Machinery,Rubber Product Making Machinery",https://importer.ec21.com/buy-lead/We-Buy-Machines-Foodgrains--24259087.html,11,
Buycosmeticproducts for baby and women,"7 Aug, 2015",China,"1>We import some products in large qty for baby and pregnant woman.
2>Anyone who has this kind ofcosmeticproducts pls feel free to contact me,
we hope to eatablish a long-term cooperation relationship in the future.",,"Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/Buy-cosmetic-products-for-baby--23847671.html,11,
Buy of Korea BrandCosmetic/ Mask,"24 Jun, 2016",Malaysia,"Hi, 
Would like to import and get distributorship for Korea Brand Mask /Cosmetic. 
Please contact me and provide me catalogue.","mask,cosmetic,contact,glass","Personal Care,Face Mask",https://importer.ec21.com/buy-lead/Buy-of-Korea-Brand-Cosmetic--23989373.html,11,
Buy KoreaCosmeticTrading Company,"5 Nov, 2015",Korea,"Dear sir,
First of all, I'm so pleased to introduce our company on this web
My name is Jung sunghoon and I'm importing some fruits from abroad in korea.
Currently, we are looking forward to growing as total sevice solution in import & export field.
As the second item of above our slogan, we have chosen koreacosmetics products and finally we decided to progress advertisement with various korea co","trade,trading company,business,partnership","Business Services,General Trade Agents",https://importer.ec21.com/buy-lead/Buy-Korea-Cosmetic-Trading-Company--23888276.html,11,
Buy Wholesale NYXCosmetics100% Authentic,"1 Nov, 2015",United Kingdom,Hi I would like to buy above item send me the details please. send all the detail to buy the products from you.,,"Personal Care,Other Makeup",https://importer.ec21.com/buy-lead/Buy-Wholesale-NYX-Cosmetics-100--23887306.html,11,
Buy [SUM37] KoreanCosmeticsWholesale Amicell,"5 Apr, 2016",United States,"Hi, 
I would like to purchase some products from this line wholesale for a retail store located in New York. Thank you.",,"Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/Buy-SUM37-Korean--23957754.html,11,
We BuyCosmetics,"13 Feb, 2018",Italy,"we are looking for our chinese customer brandedcosmetics supplyer
suck as skin cure, make up, fragrance, 
looking surplus, stock, pre-order. 
we look for serious supplyer to esthablish long term relationship.","Branded cosmetics,skin cure,make up,fragrance","Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics--24165541.html,12,
We BuyCosmetics,"10 Apr, 2019",Ukraine,"We buycosmeticand skin care products .
Quantity : 2 x 40 Ft Containers
Delivery Port : Odessa Seaport Ukraine
Terms of payment : Bank T/T",Cosmetics,"Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics--24233749.html,12,
Buy Korean BrandCosmetic,"18 Jan, 2016",China,"we like import some korea brandcosmetic.
like mediheal, snp mask
leneige 
its skin 
sum37 set
whoo set
ect
if you can supply,pls contact us for details.1640178123atqqdotcom
https://shop145203889.taobao.com
best regards
Kevin","mediheal mask,SNP mask,leneige,sun","Personal Care,Face Mask",https://importer.ec21.com/buy-lead/Buy-Korean-Brand-Cosmetic--23922668.html,12,
BuyCosmeticpencil sharpener,"10 Oct, 2016",United States,"please quote your price for thecosmeticpencil sharpener for the quantities over 50000 pieces in different colors and style!
also need to know if you do custom make the requested items?",,"Personal Care,Eyebrow Pencil",https://importer.ec21.com/buy-lead/Buy-Cosmetic-pencil-sharpener--24031351.html,12,
Looking forCosmetic,"25 Dec, 2015",United Arab Emirates,"Hi,
We are Dubai UAE based registered company under the name and title of ""Gulf Burj General Trading LLC"" and looking forCosmeticfrom Korea.
Only direct parties/seller may kindly contact.
Best regards.
Gulf Burj General Trading LLC
101, Qusais Building, Al-Qusais Road, 
Dubai, UAE.
Phone: +971555907687
www.gulfburjtrading.com",Cosmetic,"Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/Looking-for-Cosmetic--23911097.html,12,
Buy KoreanCosmetic,"8 Nov, 2015",Ukraine,"Hello! Im interested in buying TonyMoly and HolikaHolika products.
plz contact me on wechat/watsapp/viber +380675063036",,"Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/Buy-Korean-Cosmetic--23890181.html,12,
Buy KoreanCosmetics,"1 Nov, 2015",Ukraine,"Hello,my name is Alexander.
We are Ukranian company interested in buying Koreancosmeticwholesale brands like Missha, Tony Moly, Holika Holika etc.
Plz contact me, also waiting for pricing-list from your company.
+380675063036 (watsapp/viber/call)",,"Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/Buy-Korean-Cosmetics--23887195.html,12,
"Buy Tony Moly (Tonymoly, KoreanCosmetics)","24 Oct, 2015",Ukraine,"Hello dears! My name is Alexander.
My company is selling beauty products in Ukraine.
Im interested in buying wholesalecosmetics from your company
Lets contact to speak about cooperation
Plz be kind and contact me on mob +380675063036 watsapp/viber/call
or my email/
Requested wholesale price List and product list
looking forward to cooperating with you!
Best regards. Alexander Ghenov",,"Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/Buy-Tony-Moly-Tonymoly--23883934.html,12,
Buy Holika Holika - KoreaCosmeticBrand,"24 Oct, 2015",Ukraine,"Hello! We are beauty products selling company in Ukraine. Interested in buying products wholesale. Request for pricing-list.
You can contact us anytime by phone +380675063036 watsapp/viber/call or e-mail: lavlis.fashion''AT''gmail.com
Best regards! Looking forward to cooperation
Alexander
Director",,"Personal Care,Other Beauty Equipment",https://importer.ec21.com/buy-lead/Buy-Holika-Holika--23883692.html,12,
"We Buy Soap,Detergent,Cosmeticsand Body Cream","28 Mar, 2019",Benin,"Dear sir
Thanks for the recommendations.
we are a trading company in Benin Republic, we are interested to enter
into a good relationship with you/firm
Please, we need your offers for our study as to start a cooperations with you.
Or how we can cooperate for long cooperation.
Confirm your offers and prices and terms, etc., so that we can
Proceed after our study.
Our e-mail address: salahgroup2010",detegent,"Chemicals,Detergent Raw Materials",https://importer.ec21.com/buy-lead/We-Buy-Soap-Detergent-Cosmetics--24231867.html,12,
"We BuyCosmetics,Machines,Food,Electronic ,Coffee,Tea ,Sugar,Salt","28 Mar, 2019",Benin,"Dear sir
Thanks for the recommendations.
we are a trading company in Benin Republic, we are interested to enter
into a good relationship with you/firm
Please, we need your offers for our study as to start a cooperations with you.
Or how we can cooperate for long cooperation.
Confirm your offers and prices and terms, etc., so that we can
Proceed after our study.
Our e-mail address: salahgroup2010","food,wine,sugar,salt","Food & Beverage,Baby Food",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics-Machines-Food--24231866.html,12,
Buy KoreanCosmetics& Skincare,"25 Nov, 2015",Germany,"Hello,
We are an european retailer with focus oncosmetics. We would like to take korean products in our portfolio. We are looking for reliable suppliers and possibilities for a long term business partnership. We are looking forcosmetics of different Korean brands.
We are interested in cooperation with sole agents or manufacturer agents, becouse we need ""Product Information File = Safety Assessm","korean,korean cosmetics,korean skincare,korean makeup","Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/Buy-Korean-Cosmetics--23897476.html,12,
"Buy Koreancosmeticsfranchising (Holika Holika, Tony Moly)","28 Sep, 2015",Ukraine,"We are looking for wholesalers of Koreancosmetics as well as sellers of franchises ""Holika Holika"", ""Tony Moly"".",,"Business Services,Beauty Products Agents",https://importer.ec21.com/buy-lead/Buy-Korean-cosmetics-franchising--23873383.html,12,
Buy Argirelinecosmetic,"1 Dec, 2015",Germany,"Hello,
I want to buy the item (Acetyl HEXAPEPTIDE-3),DECAPEPTIDE-12,Eyeseryl (Acetyl TETRAPEPTIDE-5) .
How much cost this?
How much ist the minimum Order?
It is possible to get a test-product?
How much cost the transport to Germany?
Thanks for your answere.
Best regards 
Sven Resch",,"Chemicals,Cosmetic Raw Materials",https://importer.ec21.com/buy-lead/Buy-Argireline-cosmetic--23900009.html,12,
BuyCosmetics,"7 Jun, 2016",Pakistan,"Cosmetics enhance the natural beauty lipsticks, face foundations, blush and othercosmetics we are interested to buy these from South Korea",cosmetics,"Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/Buy-Cosmetics--23982929.html,12,
We Buycosmetics,"10 Nov, 2017",Benin,"We want alll kinds ofcosmetics.
Personal Care
Body Lotion
Dental Hygiene
Fragrance & Deodorant
Hair Hygiene
Other Personal Grooming Products
Skin Care
Face Cream & Lotion
Facial Cleanser
Hair Removal Cream
Hand Cream & Lotion
Lip Balm
Other Skin Care
Skin Care Serum
Skin Care Set
Skin Toner
Sunscreen
Tanning Lotion
Weight Loss Cream
Bath Salt
Laundry Soap
Bath Set
Bath Soap
Hand Wash
Shower Gel","cosmetics,garments","Personal Care,Body Lotion",https://importer.ec21.com/buy-lead/We-Buy-cosmetics--24145574.html,12,
"BuyCosmetics, Perfume","18 Feb, 2016",Vietnam,"I'm from Vietnam.
Our company need to importcosmetics and Fragrances from US and UK.
So please send me your products quotation.
Many thanks,
Sammi",,"Personal Care,Mascara",https://importer.ec21.com/buy-lead/Buy-Cosmetics-Perfume--23936726.html,12,
Buy Coex Lami Tube (CosmeticTube),"25 Jun, 2015",China,"PE tube,polyfoil tube for high-end comestic,such as BB cream,CC cream etc.
send us your price list with pictures.
Jenn",,"Packaging & Paper,Cosmetic Tubes",https://importer.ec21.com/buy-lead/Buy-Coex-Lami-Tube--23825764.html,12,
"Buy branded makeup,skin care,cosmetics,","29 Jun, 2016",Singapore,"I am looking for a number of brandedcosmeticproducts such as YSL, Tom Ford, Dior, Chanel, etc. I look forward to hearing from you soonest.",,"Personal Care,Lipstick",https://importer.ec21.com/buy-lead/Buy-branded-makeup-skin-care--23991686.html,12,
We Buy KoreanCosmetics,"6 Oct, 2017",Chile,"Dear seller:
I'm looking for Koreancosmetics suppliers.
Have you imported your products to Chile?
If so, please give me the list of wholesale prices and your conditions of sale.
I wait your prompt reply.
Sincerely
Karin Ojeda",Korean Cosmetics,"Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/We-Buy-Korean-Cosmetics--24138960.html,12,
We Buy KoreanCosmetics,"10 Jul, 2017",Korea,"Hello, 
I am looking for a Korean supplier company who can provide me different brands of the KoreanCosmeticproducts on regular basis. My cleints regular purchase order includes famous brands such as Innisfree, Tony Moly, Etude House, Faceshop, It's Skin, Holika Holika, Amore Pacific, and others. But most of the orders includes small units from different brands, so I am looking for a company wh","Korean Cosmetics,Skin Care,Hair Care","Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/We-Buy-Korean-Cosmetics--24117744.html,13,
BuyCosmeticPeptide/Anti-wrinkle/Anti-age,"9 Apr, 2017",United Kingdom,"Peptides, state of the art anti-ageing products
Lifting and contouring, firming of skin to remove the signs of ageing",,"Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/Buy-Cosmetic-Peptide-Anti-wrinkle--24091512.html,13,
We Buy Organic KoreanCosmetics,"27 May, 2021",Ukraine,"Looking for Korean manufacturers of green, organic, ecofriendly, or cruelty-freecosmetics (skincare, makeup).","organic skincare,organic cosmetic,green skincare,cruelty free","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Organic-Korean-Cosmetics--24325177.html,13,
We Buy KoreaCosmeticsBrand MEDIPEEL 5GF Bor-Tox Peptide Ampoule 30ml,"21 Oct, 2017",India,"hi
I'ill search to best products for Indian market.
for long term business with quality n result oriented products .
Send me details of face cream n serum.
thanks
AJay",,"Personal Care,Skin Care Serum",https://importer.ec21.com/buy-lead/We-Buy-Korea-Cosmetics-Brand--24141714.html,13,
We Buy SLES70%CosmeticGrade,"8 Jul, 2017",Uganda,"Hello sir/madam
Am Ssemanda Jackson of Nileplast Holdings Ltd I would like to purchase SLES 70% detergents 100 metric tons and am inquiring about the unit price product specifications. please send good prices basing on CIF Mombasa Kenya
Am waiting for your reply
Regards",,"Chemicals,Detergent Raw Materials",https://importer.ec21.com/buy-lead/We-Buy-SLES70-Cosmetic--24117295.html,13,
Buy Korea BrandCosmetics,"8 Dec, 2016",Macao,"This is a Trading Company in Macau, China. We are looking for Koreancosmeticproducts to be imported into Macau either into Mainland China market. 
Ken Ku
Sun Fa Trading Co.
+853 66866004
+86 15344854909
email: twa_k(at)yahoo.com.hk",,"Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/Buy-Korea-Brand-Cosmetics--24053072.html,13,
We Buy KoreanCosmetics,"15 Dec, 2017",India,"Greetings,
From Shakti Filters, 
We are a brand based in India, on the verge to extend our business in Beauty Products. With this vision, have been looking out for korean beauty products, 
Coming across your website, I have a query if possible if, you'll could provide me with the sample of the products and if you could let me know about the shipping fees or if there is any other hidden cost in de",,"Personal Care,Other Makeup",https://importer.ec21.com/buy-lead/We-Buy-Korean-Cosmetics--24153477.html,13,
We Buy KoreanCosmeticWholesale,"3 Feb, 2018",Colombia,"hello good thanks for answering what happens is that in my country Colombia does not let me importcosmeticproducts unless I have these certificates. Certificate of Free Sale issued by the competent health authority of your country. Certification stating that the product comes from the manufacturer or its authorized distributor.
Certificate in which the quantitative composition of the product or",,"Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Korean-Cosmetic-Wholesale--24163615.html,13,
We BuyCosmeticsand Prosoanl Cere Products,"4 Feb, 2019",Benin,"We are interested in all kinds ofcosmetics, toothpaste,soaps, detergent.
Any interested manufacturer/exporter should contact us with their products details.
Regards,
Adanna Ikoro.","Cosmetics,detergent,soaps","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics-and-Prosoanl--24224774.html,13,
Buy Ultrasonic SurgicalCosmeticand Lipolysis Equipment,"7 May, 2017",Iraq,i just want to know the price of the device and its suction and irrigation pump all together are how much please,,"Health & Medical,Other Medical Equipment",https://importer.ec21.com/buy-lead/Buy-Ultrasonic-Surgical-Cosmetic-and--24099588.html,13,
We Buy High End BrandCosmeticsMake Up and Perfumes in Wholesale Price,"18 Feb, 2019",China,"Dear Sir or Madam, 
My name is Hellen . I am the Purchasing Manager of COSMA (HK) TRADING LIMITED 
We are a professional trading company importing high end brand ofCosmetics -Skincare /Cosmetics-Makeup / Perfume & Fragrances / Body & Hair care and Beauty apparatus products . We are looking for distributors, wholesale suppliers in worldwide .
The Principal place of purchase is in Europe and Nort","cosmetics,skin care,perfumes,make up","Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-High-End-Brand--24226218.html,13,
We Buy the BrandedCosmeticPerfume Makeup,"12 Sep, 2018",China,"Hello Sir ,
We are looking for thecosmeticunder the brand of La Mer , Lancome , Estee Lauder , YSL , Caudalie ..etc 
Please feel free to contact me if you have something to offer 
Best Regards, 
Hellen 
HK KENCHOW LIMITED 
Phone : 13626904372","perfume,make up,cosmetic,Skin care product","Luggage, Bags & Cases,Cosmetic Bags & Cases",https://importer.ec21.com/buy-lead/We-Buy-the-Branded-Cosmetic--24203569.html,13,
We BuyCosmetics,"30 Aug, 2018",Canada,"Buyer is interested to receive quotations for the following RFQ - Product Name : HerbalCosmetics Specification : 100% Made Up From Natural IngredientsCosmetics like (Lotion, Cream, Face Wash etc.) Different Packing Quantity Required : Half Of 1 X 20' Ft. Container Shipping Terms : FOB Destination Port : Spain Payment Terms : T/T Looking For Suppliers From : Worldwide Contact : sandra(at)e-trave","Lotion,Cream,Face Wash","Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics--24201413.html,13,
We Buy LuxuryCosmeticPaper Gift Boxes,"29 Dec, 2017",United States,"Hello,
We have a need for a custom printed gift box. Around the following dimensions. It doesn't have to be this size exactly.
It should look like this: https://www.pinterest.com/pin/328481366556229500/
Length - 13'
Width - 9'
Depth - 5'",,"Packaging & Paper,Paper Boxes",https://importer.ec21.com/buy-lead/We-Buy-Luxury-Cosmetic-Paper--24156863.html,13,
BuyCosmeticRaw Materials Anionic Detergent Surfactant APG0810 Raw Materials,"12 Jun, 2017",China,"Looking for APG 0810 to be used inCosmeticand industrial usages including quotation. 
Please quote based on MOQ and 1 unit FCL(20 ft)",,"Chemicals,Surfactants",https://importer.ec21.com/buy-lead/Buy-Cosmetic-Raw-Materials-Anionic--24110497.html,13,
